date,origin,destination,airline,base_fare,taxes,total_fare,fare_class,availability,source
2026-08-01,DEL,BOM,IndiGo,3762,677,4439,Economy Saver,36,Airline Portal
2026-08-01,DEL,BOM,Air India,4122,742,4864,Economy,80,OTA
2026-08-01,DEL,BOM,Akasa Air,3637,655,4292,Economy,34,Airline Portal
2026-08-01,DEL,BOM,SpiceJet,3796,683,4479,Economy Saver,33,OTA
2026-08-01,DEL,BLR,IndiGo,4664,840,5504,Economy,25,OTA
2026-08-01,DEL,BLR,Air India,4689,844,5533,Economy,48,Airline Portal
2026-08-01,DEL,BLR,Akasa Air,4119,741,4860,Economy Saver,49,OTA
2026-08-01,DEL,BLR,SpiceJet,4263,767,5030,Economy Saver,73,Airline Portal
2026-08-01,DEL,HYD,IndiGo,3443,620,4063,Economy,75,OTA
2026-08-01,DEL,HYD,Air India,3846,692,4538,Economy Saver,78,Airline Portal
2026-08-01,DEL,HYD,Akasa Air,3133,564,3697,Economy,42,Airline Portal
2026-08-01,DEL,HYD,SpiceJet,3413,614,4027,Economy,53,OTA
2026-08-01,DEL,CCU,IndiGo,4377,788,5165,Economy Saver,25,OTA
2026-08-01,DEL,CCU,Air India,4629,833,5462,Economy Saver,14,Airline Portal
2026-08-01,DEL,CCU,Akasa Air,3907,703,4610,Economy,64,OTA
2026-08-01,DEL,CCU,SpiceJet,4087,736,4823,Economy,46,Airline Portal
2026-08-01,BOM,BLR,IndiGo,2766,498,3264,Economy Saver,56,OTA
2026-08-01,BOM,BLR,Air India,3457,622,4079,Economy Saver,32,OTA
2026-08-01,BOM,BLR,Akasa Air,3098,558,3656,Economy Saver,23,OTA
2026-08-01,BOM,BLR,SpiceJet,2891,520,3411,Economy Saver,79,OTA
2026-08-01,BOM,DEL,IndiGo,3954,712,4666,Economy Saver,33,Airline Portal
2026-08-01,BOM,DEL,Air India,4116,741,4857,Economy,19,Airline Portal
2026-08-01,BOM,DEL,Akasa Air,3995,719,4714,Economy Saver,13,OTA
2026-08-01,BOM,DEL,SpiceJet,3669,660,4329,Economy Saver,75,Airline Portal
2026-08-01,BLR,HYD,IndiGo,2608,469,3077,Economy Saver,48,Airline Portal
2026-08-01,BLR,HYD,Air India,2854,514,3368,Economy Saver,5,OTA
2026-08-01,BLR,HYD,Akasa Air,2828,509,3337,Economy,69,Airline Portal
2026-08-01,BLR,HYD,SpiceJet,2478,446,2924,Economy,24,OTA
2026-08-01,DEL,MAA,IndiGo,4526,815,5341,Economy,46,OTA
2026-08-01,DEL,MAA,Air India,5085,915,6000,Economy Saver,44,Airline Portal
2026-08-01,DEL,MAA,Akasa Air,4519,813,5332,Economy,15,OTA
2026-08-01,DEL,MAA,SpiceJet,4390,790,5180,Economy,21,OTA
2026-08-02,DEL,BOM,IndiGo,3878,698,4576,Economy Saver,72,OTA
2026-08-02,DEL,BOM,Air India,4593,827,5420,Economy,44,OTA
2026-08-02,DEL,BOM,Akasa Air,3965,714,4679,Economy Saver,61,OTA
2026-08-02,DEL,BOM,SpiceJet,3566,642,4208,Economy,48,Airline Portal
2026-08-02,DEL,BLR,IndiGo,4402,792,5194,Economy,5,Airline Portal
2026-08-02,DEL,BLR,Air India,4681,843,5524,Economy,13,Airline Portal
